City,Date,Avg
nan,2023/01/01,7.404166666666666
nan,2023/01/02,9.320833333333335
nan,2023/01/03,10.129166666666666
nan,2023/01/04,8.218181818181819
nan,2023/01/05,7.870833333333334
nan,2023/01/06,5.4375
nan,2023/01/07,6.954166666666667
nan,2023/01/08,7.400000000000001
nan,2023/01/09,2.4791666666666665
nan,2023/01/10,6.504166666666666
nan,2023/01/11,5.729166666666667
nan,2023/01/12,2.1
nan,2023/01/13,1.7875000000000003
nan,2023/01/14,2.3000000000000003
nan,2023/01/15,11.916666666666666
nan,2023/01/16,10.570833333333335
nan,2023/01/17,8.2875
nan,2023/01/18,8.325
nan,2023/01/19,6.391666666666666
nan,2023/01/20,8.016666666666666
nan,2023/01/21,7.691666666666666
nan,2023/01/22,2.3000000000000003
nan,2023/01/23,5.991666666666667
nan,2023/01/24,11.783333333333333
nan,2023/01/25,7.945454545454546
nan,2023/01/26,2.7708333333333335
nan,2023/01/27,9.320833333333335
nan,2023/01/28,8.029166666666667
nan,2023/01/29,6.695833333333333
nan,2023/01/30,6.841666666666666
nan,2023/01/31,2.704166666666666
nan,2023/02/01,1.616666666666667
nan,2023/02/02,8.716666666666667
nan,2023/02/03,6.55
nan,2023/02/04,6.654166666666666
nan,2023/02/05,5.358333333333333
nan,2023/02/06,1.9291666666666665
nan,2023/02/07,2.608333333333333
nan,2023/02/08,5.691666666666666
nan,2023/02/09,3.079166666666667
nan,2023/02/10,4.504166666666667
nan,2023/02/11,3.6125000000000003
nan,2023/02/12,1.9666666666666668
nan,2023/02/13,5.5625
nan,2023/02/14,10.654166666666667
nan,2023/02/15,10.041666666666666
nan,2023/02/16,7.720833333333334
nan,2023/02/17,2.658333333333333
nan,2023/02/18,2.2624999999999997
nan,2023/02/19,6.983333333333333
nan,2023/02/20,11.737500000000002
nan,2023/02/21,14.575000000000001
nan,2023/02/22,10.783333333333333
nan,2023/02/23,7.5625
nan,2023/02/24,8.570833333333333
nan,2023/02/25,12.058333333333332
nan,2023/02/26,11.237499999999999
nan,2023/02/27,7.241666666666667
nan,2023/02/28,3.2166666666666663
nan,2023/03/01,3.3666666666666667
nan,2023/03/02,8.920833333333333
nan,2023/03/03,5.504166666666666
nan,2023/03/04,4.079166666666667
nan,2023/03/05,3.804166666666667
nan,2023/03/06,4.7250000000000005
nan,2023/03/07,4.166666666666667
nan,2023/03/08,1.3166666666666667
nan,2023/03/09,1.8666666666666665
nan,2023/03/10,4.2375
nan,2023/03/11,5.166666666666667
nan,2023/03/12,5.5625
nan,2023/03/13,9.220833333333333
nan,2023/03/14,5.0625
nan,2023/03/15,2.583333333333333
nan,2023/03/16,5.608333333333333
nan,2023/03/17,2.5500000000000003
nan,2023/03/18,7.916666666666667
nan,2023/03/19,5.333333333333333
nan,2023/03/20,1.9458333333333335
nan,2023/03/21,2.1625
nan,2023/03/22,3.008333333333333
nan,2023/03/23,3.9291666666666667
nan,2023/03/24,4.816666666666666
nan,2023/03/25,6.858333333333333
nan,2023/03/26,8.483333333333333
nan,2023/03/27,8.795833333333334
nan,2023/03/28,7.379166666666666
nan,2023/03/29,3.641666666666667
nan,2023/03/30,4.316666666666666
nan,2023/03/31,4.766666666666667
nan,2023/04/01,3.3833333333333333
nan,2023/04/02,5.1
nan,2023/04/03,6.6000000000000005
nan,2023/04/04,1.5625
nan,2023/04/05,1.9458333333333335
nan,2023/04/06,2.4458333333333333
nan,2023/04/07,8.658333333333333
nan,2023/04/08,9.012500000000001
nan,2023/04/09,7.3374999999999995
nan,2023/04/10,2.4458333333333333
nan,2023/04/11,1.9000000000000001
nan,2023/04/12,5.320833333333334
nan,2023/04/13,4.433333333333334
nan,2023/04/14,2.2583333333333333
nan,2023/04/15,3.3666666666666667
nan,2023/04/16,1.825
nan,2023/04/17,1.7
nan,2023/04/18,1.0958333333333334
nan,2023/04/19,2.766666666666666
nan,2023/04/20,2.579166666666667
nan,2023/04/21,4.904166666666667
nan,2023/04/22,5.5125
nan,2023/04/23,5.620833333333334
nan,2023/04/24,6.291666666666667
nan,2023/04/25,5.7375
nan,2023/04/26,7.95
nan,2023/04/27,5.683333333333333
nan,2023/04/28,2.033333333333333
nan,2023/04/29,3.154166666666667
nan,2023/04/30,6.491666666666667
nan,2023/05/01,7.166666666666667
nan,2023/05/02,5.75
nan,2023/05/03,2.183333333333333
nan,2023/05/04,1.3875
nan,2023/05/05,1.9541666666666666
nan,2023/05/06,1.5833333333333333
nan,2023/05/07,4.433333333333334
nan,2023/05/08,7.5125
nan,2023/05/09,7.0874999999999995
nan,2023/05/10,5.245833333333334
nan,2023/05/11,5.641666666666666
nan,2023/05/12,1.6208333333333336
nan,2023/05/13,2.35
nan,2023/05/14,3.3833333333333333
nan,2023/05/15,1.5217391304347827
nan,2023/05/16,1.8208333333333335
nan,2023/05/17,1.0708333333333333
nan,2023/05/18,5.579166666666666
nan,2023/05/19,4.804166666666667
nan,2023/05/20,3.7916666666666665
nan,2023/05/21,1.3375000000000001
nan,2023/05/22,6.504166666666667
nan,2023/05/23,6.7
nan,2023/05/24,3.4416666666666664
nan,2023/05/25,2.2125
nan,2023/05/26,2.9291666666666667
nan,2023/05/27,7.091666666666666
nan,2023/05/28,8.445833333333333
nan,2023/05/29,7.1000000000000005
nan,2023/05/30,6.7625
nan,2023/05/31,9.741666666666667
nan,2023/06/01,4.195833333333333
nan,2023/06/02,3.4958333333333336
nan,2023/06/03,4.987500000000001
nan,2023/06/04,3.1374999999999997
nan,2023/06/05,1.5874999999999997
nan,2023/06/06,2.604166666666667
nan,2023/06/07,1.8499999999999999
nan,2023/06/08,2.1
nan,2023/06/09,2.1333333333333333
nan,2023/06/10,2.0375
nan,2023/06/11,1.9750000000000003
nan,2023/06/12,4.029166666666666
nan,2023/06/13,3.85
nan,2023/06/14,3.179166666666667
nan,2023/06/15,3.7375000000000003
nan,2023/06/16,1.9958333333333333
nan,2023/06/17,1.0833333333333333
nan,2023/06/18,3.720833333333333
nan,2023/06/19,5.095833333333333
nan,2023/06/20,5.416666666666667
nan,2023/06/21,4.845833333333332
nan,2023/06/22,2.517391304347826
nan,2023/06/23,1.6625000000000003
nan,2023/06/24,1.5375000000000003
nan,2023/06/25,1.4083333333333332
nan,2023/06/26,1.9208333333333332
nan,2023/06/27,3.045833333333333
nan,2023/06/28,1.5208333333333333
nan,2023/06/29,1.3708333333333333
nan,2023/06/30,2.3916666666666666
nan,2023/07/01,1.2999999999999998
nan,2023/07/02,1.6458333333333333
nan,2023/07/03,2.3666666666666667
nan,2023/07/04,5.095833333333334
nan,2023/07/05,7.216666666666666
nan,2023/07/06,5.4624999999999995
nan,2023/07/07,5.754166666666666
nan,2023/07/08,4.5874999999999995
nan,2023/07/09,3.0666666666666664
nan,2023/07/10,1.7166666666666668
nan,2023/07/11,1.6333333333333335
nan,2023/07/12,1.8125
nan,2023/07/13,3.2916666666666665
nan,2023/07/14,4.6125
nan,2023/07/15,4.283333333333333
nan,2023/07/16,6.179166666666667
nan,2023/07/17,1.4541666666666666
nan,2023/07/18,1.608695652173913
nan,2023/07/19,1.6875
nan,2023/07/20,2.345833333333333
nan,2023/07/21,2.391666666666667
nan,2023/07/22,1.8499999999999999
nan,2023/07/23,1.9625000000000001
nan,2023/07/24,4.408333333333334
nan,2023/07/25,8.075000000000001
nan,2023/07/26,11.633333333333335
nan,2023/07/27,9.729166666666666
nan,2023/07/28,6.033333333333334
nan,2023/07/29,2.191666666666667
nan,2023/07/30,2.35
nan,2023/07/31,2.016666666666667
nan,2023/08/01,2.7208333333333337
nan,2023/08/02,3.8541666666666665
nan,2023/08/03,10.345833333333333
nan,2023/08/04,8.720833333333333
nan,2023/08/05,6.829166666666666
nan,2023/08/06,6.366666666666667
nan,2023/08/07,6.7375
nan,2023/08/08,5.808333333333333
nan,2023/08/09,3.9625
nan,2023/08/10,2.191666666666667
nan,2023/08/11,1.9083333333333332
nan,2023/08/12,1.4333333333333333
nan,2023/08/13,2.475
nan,2023/08/14,3.670833333333333
nan,2023/08/15,5.691666666666666
nan,2023/08/16,3.554166666666666
nan,2023/08/17,2.016666666666667
nan,2023/08/18,2.2916666666666665
nan,2023/08/19,2.683333333333333
nan,2023/08/20,1.5999999999999999
nan,2023/08/21,2.1434782608695655
nan,2023/08/22,2.265217391304348
nan,2023/08/23,1.7
nan,2023/08/24,1.7958333333333334
nan,2023/08/25,3.877272727272727
nan,2023/08/26,5.382608695652174
nan,2023/08/27,2.620833333333333
nan,2023/08/28,1.8
nan,2023/08/29,5.075
nan,2023/08/30,8.7875
nan,2023/08/31,6.75
nan,2023/09/01,5.608333333333333
nan,2023/09/02,4.904166666666666
nan,2023/09/03,10.925000000000002
nan,2023/09/04,12.79565217391304
nan,2023/09/05,6.491666666666667
nan,2023/09/06,4.3
nan,2023/09/07,5.6000000000000005
nan,2023/09/08,5.083333333333333
nan,2023/09/09,3.483333333333333
nan,2023/09/10,3.341666666666667
nan,2023/09/11,3.4
nan,2023/09/12,4.5249999999999995
nan,2023/09/13,1.2541666666666667
nan,2023/09/14,2.8083333333333336
nan,2023/09/15,1.7
nan,2023/09/16,1.9124999999999996
nan,2023/09/17,2.091666666666667
nan,2023/09/18,3.625
nan,2023/09/19,4.7250000000000005
nan,2023/09/20,1.8666666666666665
nan,2023/09/21,3.204166666666666
nan,2023/09/22,5.55
nan,2023/09/23,7.037499999999999
nan,2023/09/24,5.904166666666666
nan,2023/09/25,4.5375000000000005
nan,2023/09/26,3.9708333333333328
nan,2023/09/27,5.208333333333333
nan,2023/09/28,5.045833333333333
nan,2023/09/29,5.254166666666667
nan,2023/09/30,4.574999999999999
nan,2023/10/01,6.320833333333333
nan,2023/10/02,7.691666666666666
nan,2023/10/03,7.341666666666668
nan,2023/10/04,11.916666666666666
nan,2023/10/05,16.73478260869565
nan,2023/10/06,10.649999999999999
nan,2023/10/07,3.245833333333333
nan,2023/10/08,8.85
nan,2023/10/09,11.625
nan,2023/10/10,8.799999999999999
nan,2023/10/11,7.691666666666666
nan,2023/10/12,6.333333333333333
nan,2023/10/13,4.5375000000000005
nan,2023/10/14,3.5499999999999994
nan,2023/10/15,4.104166666666667
nan,2023/10/16,6.0
nan,2023/10/17,6.974999999999999
nan,2023/10/18,6.654166666666666
nan,2023/10/19,2.3416666666666663
nan,2023/10/20,6.75
nan,2023/10/21,9.762500000000001
nan,2023/10/22,7.95
nan,2023/10/23,7.741666666666666
nan,2023/10/24,4.437499999999999
nan,2023/10/25,5.154166666666667
nan,2023/10/26,4.904166666666668
nan,2023/10/27,5.008333333333334
nan,2023/10/28,5.683333333333334
nan,2023/10/29,5.341666666666666
nan,2023/10/30,4.391666666666667
nan,2023/10/31,5.529166666666666
nan,2023/11/01,6.566666666666667
nan,2023/11/02,3.9749999999999996
nan,2023/11/03,2.6374999999999997
nan,2023/11/04,2.4
nan,2023/11/05,1.5416666666666667
nan,2023/11/06,5.270833333333333
nan,2023/11/07,7.400000000000001
nan,2023/11/08,7.3875
nan,2023/11/09,2.8541666666666665
nan,2023/11/10,7.083333333333333
nan,2023/11/11,10.575
nan,2023/11/12,10.950000000000003
nan,2023/11/13,10.545833333333334
nan,2023/11/14,6.441666666666666
nan,2023/11/15,7.530434782608695
nan,2023/11/16,5.470833333333334
nan,2023/11/17,4.791666666666667
nan,2023/11/18,6.620833333333334
